event_id,avg_bbox_size,step_count
114_2024-06-11_in_18,2217.9285714285716,14
114_2024-06-08_in_28,1587.25,12
114_2024-06-08_in_29,987.4,15
114_2024-06-07_out_27,1754.6666666666667,6
114_2024-06-05_out_18,1732.5555555555557,9
114_2024-06-05_out_19,1694.076923076923,13
114_2024-06-05_in_27,1465.1875,32
114_2024-06-05_in_28,1792.625,8
114_2024-06-04_out_7,1669.0,5
114_2024-06-04_out_8,1537.0,6
114_2024-06-04_in_10,1622.2142857142858,14
114_2024-06-04_in_9,1604.5384615384614,13
114_2024-05-30_out_16,1830.2,5
114_2024-05-30_out_17,1413.5714285714287,7
114_2024-05-29_out_21,1558.1666666666667,6
114_2024-05-29_out_22,1918.2727272727273,11
114_2024-05-29_in_23,1371.875,8
114_2024-05-29_in_24,1559.6666666666667,6
114_2024-05-28_out_12,1999.25,4
114_2024-05-28_out_13,1716.0,6
114_2024-05-25_out_11,1751.3333333333333,6
114_2024-05-25_in_14,1480.0526315789473,19
114_2024-05-23_out_16,1460.4,5
114_2024-05-22_out_15,1686.5,28
114_2024-05-18_out_4,1836.0,4
114_2024-05-17_out_17,1584.0,5
114_2024-05-17_out_18,1744.6666666666667,15
114_2024-05-17_out_19,1669.0,6
114_2024-04-19_out_14,1473.0,6
114_2024-04-19_out_15,1710.6,5
114_2024-04-19_in_18,1443.5555555555557,9
114_2024-04-19_in_19,1667.25,8
114_2024-04-18_out_24,1551.5714285714287,7
114_2024-04-18_out_25,1724.0,6
114_2024-04-18_in_20,1723.6666666666667,6
114_2024-04-17_out_20,1622.0,13
114_2024-04-17_out_21,1633.5,10
114_2024-04-17_in_21,1398.375,8
114_2024-04-17_in_22,2270.875,8
114_2024-04-16_in_17,1498.157894736842,19
114_2024-04-12_out_16,1655.75,4
114_2024-04-12_out_17,1444.2,20
114_2024-04-11_out_13,1707.8,5
114_2024-04-06_out_10,1700.0,5
114_2024-04-06_out_8,1498.0,6
114_2024-04-06_out_9,1685.0,6
114_2024-04-06_in_6,1448.5714285714287,7
114_2024-04-06_in_7,1615.857142857143,7
114_2024-04-06_in_8,1449.111111111111,9
114_2024-04-05_out_6,1729.5,4
114_2024-04-05_out_7,1323.6666666666667,6
114_2024-04-05_in_6,1443.6666666666667,9
114_2024-04-05_in_7,1472.875,8
114_2024-04-04_out_10,1784.0,4
114_2024-04-04_out_11,1630.4545454545455,11
114_2024-04-04_in_5,1675.857142857143,7
114_2024-04-04_in_6,1385.9,10
114_2024-01-10_out_12,1839.8,5
114_2024-01-10_out_13,1788.6,5
114_2024-01-10_in_11,1247.375,8
114_2024-01-10_in_12,1280.375,8
114_2024-01-09_out_21,1586.1666666666667,6
114_2024-01-09_out_22,1505.375,8
114_2024-01-09_in_18,1298.375,8
114_2024-01-09_in_19,1606.142857142857,7
114_2023-12-22_out_10,1538.2,10
114_2023-12-22_out_11,1558.5,4
114_2023-12-22_out_9,1868.6,5
114_2023-12-22_in_6,1409.75,8
114_2023-12-22_in_7,1475.2857142857142,7
114_2023-12-22_in_8,1379.3333333333333,9
114_2023-12-21_out_10,1822.3333333333333,6
114_2023-12-21_out_9,1581.3333333333333,6
114_2023-12-21_in_10,1385.625,8
114_2023-12-21_in_11,1422.7777777777778,9
114_2023-12-20_out_18,1767.0,6
114_2023-12-20_in_18,1128.7777777777778,9
114_2023-12-15_out_8,1340.55,20
114_2023-12-15_in_7,1503.5555555555557,9
114_2023-12-14_out_11,1627.75,4
114_2023-12-14_in_9,1213.25,8
114_2023-12-13_out_12,1711.4,5
114_2023-12-13_in_14,1531.142857142857,7
114_2023-12-12_out_21,1765.0,6
114_2023-12-12_out_22,1386.0,3
114_2023-12-12_in_17,1338.625,8
114_2023-12-12_in_18,1423.0,7
114_2023-12-08_out_6,1798.5333333333333,15
114_2023-12-08_out_7,2073.2,5
114_2023-12-08_in_7,1501.6666666666667,9
114_2023-12-08_in_8,1352.4444444444443,9
114_2023-12-07_out_10,1650.4,5
114_2023-12-07_out_11,1691.7142857142858,7
114_2023-12-07_out_9,1780.4285714285713,7
114_2023-12-07_in_10,1345.4444444444443,9
114_2023-12-07_in_8,1371.111111111111,9
114_2023-12-07_in_9,1266.111111111111,9
114_2023-12-06_out_9,1486.2857142857142,7
114_2023-12-06_in_6,1626.875,8
114_2023-12-06_in_7,1417.0,6
114_2023-12-05_out_10,1441.1818181818182,11
114_2023-12-05_out_11,1816.7272727272727,11
114_2023-12-05_in_9,1353.5294117647059,17
114_2023-11-30_out_15,1915.4,5
114_2023-11-30_in_18,1539.0,8
114_2023-11-30_in_19,1724.6,15
114_2023-11-30_in_20,1461.5,8
114_2023-11-29_in_13,1629.9285714285713,28
114_2023-11-29_in_14,1667.0,7
114_2023-11-29_in_15,1304.2857142857142,7
114_2023-11-28_in_9,1622.0,7
